room_id,survey_id,host_id,room_type,country,city,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minstay,name,last_modified,latitude,longitude,location
17201699,1352,115791521,Private room,,Lisbon,,Olivais,8,5.0,2,1.0,,32.0,,Vera's Place,2017-06-19 02:26:11.775436,38.768448,-9.106468,0101000020E61000001C2444F9823622C09B560A815C624340
18456255,1352,127888548,Private room,,Lisbon,,Parque das Nações,5,5.0,2,1.0,,39.0,,"Lovely Suite in Parque das Nações, Airport, FIL",2017-06-19 02:26:11.771365,38.780066,-9.096411,0101000020E610000006F357C85C3122C05B5CE333D9634340
1100597,1352,6027176,Private room,,Lisbon,,Olivais,146,5.0,2,1.0,,40.0,,LISBON - BEDROOM + BREAKFAST,2017-06-19 02:26:10.610381,38.774991,-9.116482,0101000020E610000035255987A33B22C0E0D8B3E732634340
14300128,1352,14695024,Private room,,Lisbon,,Parque das Nações,24,5.0,3,1.0,,33.0,,LX ORIENTE LOFT - INDUSTRIAL ROOM (TOTALLY NEW),2017-06-19 02:26:10.603494,38.770349,-9.102479,0101000020E6100000B70DA320783422C0CFC0C8CB9A624340
11615076,1352,61498227,Private room,,Lisbon,,Olivais,153,5.0,2,1.0,,29.0,,Room with bathroom in Lisbon,2017-06-19 02:26:10.595901,38.771307,-9.118206,0101000020E6100000C861307F853C22C083161230BA624340
13212825,1352,48067566,Private room,,Lisbon,,Olivais,140,4.5,2,1.0,,31.0,,Room with private bathroom near airport,2017-06-19 02:26:10.586992,38.771179,-9.119977,0101000020E61000005D8B16A06D3D22C0552E54FEB5624340
5990539,1352,21675656,Private room,,Lisbon,,Alvalade,16,4.5,1,1.0,,21.0,,Campo Grande room in Lisboa (2),2017-06-19 02:26:08.252138,38.751066,-9.147522,0101000020E61000008BE1EA00884B22C09B9141EE22604340
17131853,1352,546839,Private room,,Lisbon,,Penha de França,0,0.0,2,1.0,,19.0,,Cool yellow bdroom w/patio near IST,2017-06-19 02:26:08.247612,38.734636,-9.128298,0101000020E6100000CF488446B04122C06D3B6D8D085E4340
14202177,1352,76894676,Private room,,Lisbon,,Arroios,2,0.0,2,1.0,,35.0,,Cozy Room with window in a awesome location,2017-06-19 02:26:08.243264,38.734812,-9.133303,0101000020E6100000D9EA724A404422C0AB5AD2510E5E4340
18871584,1352,73546613,Private room,,Lisbon,,Areeiro,0,0.0,1,1.0,,13.0,,Quarto acolhedor no centro de Lisboa,2017-06-19 02:26:08.239143,38.739299,-9.134665,0101000020E6100000E9D495CFF24422C0967B8159A15E4340
13681956,1352,79651592,Private room,,Lisbon,,Lumiar,13,5.0,2,1.0,,23.0,,Sunny Room for 2 people in Lisbon,2017-06-19 02:26:08.234115,38.763868,-9.170102,0101000020E6100000E8F7FD9B175722C0003B376DC6614340
7131870,1352,31242549,Private room,,Lisbon,,Arroios,48,4.5,2,1.0,,21.0,,"Central Lisbon, double bedroom",2017-06-19 02:26:08.225281,38.734319,-9.140392,0101000020E6100000753DD175E14722C06CEA3C2AFE5D4340
15477158,1352,5151549,Private room,,Lisbon,,Arroios,1,0.0,1,1.0,,15.0,,Single Room in Saldanha Center,2017-06-19 02:26:08.222039,38.73373,-9.140827,0101000020E61000009FC9FE791A4822C00B0C59DDEA5D4340
14974127,1352,92839111,Private room,,Lisbon,,Avenidas Novas,34,4.5,1,1.0,,29.0,,Single Room Enchanting,2017-06-19 02:26:08.213160,38.739596,-9.148879,0101000020E6100000541F48DE394C22C04F20EC14AB5E4340
18563767,1352,104995248,Private room,,Lisbon,,Arroios,0,0.0,2,1.0,,22.0,,New: Aurora's Room,2017-06-19 02:26:08.210761,38.733215,-9.132865,0101000020E6100000EB909BE1064422C0E4F736FDD95D4340
14942697,1352,92839111,Private room,,Lisbon,,Avenidas Novas,23,4.5,1,1.0,,29.0,,Single Room Elegance,2017-06-19 02:26:08.207732,38.738479,-9.149011,0101000020E61000000F7D772B4B4C22C032E4D87A865E4340
19032617,1352,20655758,Private room,,Lisbon,,Areeiro,0,0.0,1,1.0,,22.0,,Quiet and sunny room in an amazing location!,2017-06-19 02:26:06.243198,38.737308,-9.134146,0101000020E610000047C7D5C8AE4422C0228AC91B605E4340
13953487,1352,41920651,Private room,,Lisbon,,Arroios,30,4.5,2,1.0,,40.0,,Ledi Lisbon Double Room,2017-06-19 02:26:06.239959,38.734829,-9.134029,0101000020E6100000616EF7729F4422C081936DE00E5E4340
17132510,1352,546839,Private room,,Lisbon,,Penha de França,0,0.0,2,1.0,,21.0,,Trendy bedroom with a patio near IST,2017-06-19 02:26:06.231915,38.736199,-9.12741,0101000020E6100000E15D2EE23B4122C0882CD2C43B5E4340
16317661,1352,22320211,Private room,,Lisbon,,Alvalade,0,0.0,3,2.0,,35.0,,Double\Single Rooms in noble area of lisbon,2017-06-19 02:26:06.229256,38.747898,-9.141649,0101000020E6100000AF05BD37864822C0355F251FBB5F4340
18969195,1352,73546613,Private room,,Lisbon,,Areeiro,0,0.0,1,1.0,,10.0,,Small budget room in the heart of Lisbon,2017-06-19 02:26:06.226236,38.737889,-9.134218,0101000020E6100000AE11C138B84422C0018A9125735E4340
14953404,1352,94126754,Private room,,Lisbon,,Parque das Nações,11,3.5,2,1.0,,41.0,,Chill-Expo'sky,2017-06-19 02:26:06.222174,38.768488,-9.09644,0101000020E61000006F0D6C95603122C029AF95D05D624340
15228496,1352,61523623,Private room,,Lisbon,,Arroios,0,0.0,2,1.0,,29.0,,Room Double - centro de Lisboa,2017-06-19 02:26:06.219587,38.733877,-9.136897,0101000020E61000004DD7135D174622C0AF2479AEEF5D4340
501680,1352,2475531,Private room,,Lisbon,,Alvalade,14,5.0,2,1.0,,31.0,,Quarto com cama de casal em Lisboa,2017-06-19 02:26:06.205850,38.750729,-9.144276,0101000020E610000005323B8BDE4922C053944BE317604340
5580661,1352,16391947,Private room,,Lisbon,,Alvalade,6,5.0,2,1.0,,35.0,,Double bed room in Av. de Roma,2017-06-19 02:26:06.183429,38.747636,-9.139878,0101000020E61000001ADCD6169E4722C0F8A75489B25F4340
11944238,1352,62637010,Private room,,Lisbon,,Avenidas Novas,1,0.0,2,1.0,,41.0,,CR61.3 Residence - Double room #4,2017-06-19 02:26:06.180228,38.742581,-9.156254,0101000020E610000006BD3786005022C0C4D0EAE40C5F4340
18164282,1352,122884745,Private room,,Lisbon,,Parque das Nações,1,0.0,3,1.0,,30.0,,Quarto Parque da Nações c/ transfer,2017-06-19 02:26:06.177824,38.769121,-9.096613,0101000020E6100000A5BC5642773122C05AD5928E72624340
2644425,1352,13538988,Private room,,Lisbon,,Alvalade,21,5.0,1,1.0,,23.0,,localização previlegiada em Lisboa,2017-06-19 02:26:06.174544,38.747997,-9.139392,0101000020E6100000E8A562635E4722C0C8409E5DBE5F4340
3737636,1352,13536720,Private room,,Lisbon,,Penha de França,0,0.0,2,1.0,,32.0,,"Room in Lisbon, just like home",2017-06-19 02:26:06.167645,38.735807,-9.128049,0101000020E61000002E9276A38F4122C07D957CEC2E5E4340
13751107,1352,66378022,Private room,,Lisbon,,Penha de França,7,4.5,1,1.0,,16.0,,Lisbon quarto single aconchegante,2017-06-19 02:26:06.164929,38.733871,-9.130079,0101000020E6100000F3CAF5B6994222C0CD3D247CEF5D4340
6638862,1352,3244631,Private room,,Lisbon,,Penha de França,18,4.5,2,1.0,,32.0,,Luis & Christophe's house :-),2017-06-19 02:26:06.161128,38.736315,-9.128875,0101000020E6100000448B6CE7FB4122C0F146E6913F5E4340
15756656,1352,33487887,Private room,,Lisbon,,Areeiro,1,0.0,2,1.0,,23.0,,Well connected modern&friendly room,2017-06-19 02:26:00.787345,38.743754,-9.140504,0101000020E610000014EAE923F04722C07522C154335F4340
17885288,1352,48890700,Private room,,Lisbon,,Penha de França,11,4.5,2,1.0,,20.0,,Lovely room for two in city center near Alameda,2017-06-19 02:26:00.784984,38.733938,-9.127454,0101000020E6100000207D93A6414122C055A52DAEF15D4340
172248,1352,507901,Private room,,Lisbon,,Alvalade,38,4.5,2,1.0,,29.0,,Double room+Wifi+Kitchen+Parking,2017-06-19 02:26:00.782097,38.748424,-9.132345,0101000020E610000008944DB9C24322C050C58D5BCC5F4340
12969202,1352,70624147,Private room,,Lisbon,,Arroios,16,4.5,2,1.0,,18.0,,G. Quarto privado com TV e beliche,2017-06-19 02:26:00.779330,38.733185,-9.132775,0101000020E6100000EB73B515FB4322C079758E01D95D4340
14942418,1352,92839111,Private room,,Lisbon,,Avenidas Novas,26,4.5,2,1.0,,40.0,,Twin Room Refreshing,2017-06-19 02:26:00.777014,38.738554,-9.146966,0101000020E6100000753FA7203F4B22C03D2AFEEF885E4340
14942092,1352,92839111,Private room,,Lisbon,,Avenidas Novas,29,4.5,2,1.0,,40.0,,Double Room Deluxe,2017-06-19 02:26:00.774594,38.738521,-9.147219,0101000020E61000001CB3EC49604B22C061342BDB875E4340
15359347,1352,58314972,Private room,,Lisbon,,Alvalade,3,4.0,1,1.0,,22.0,,Young Scandinavian Style  bunk bed,2017-06-19 02:26:00.771640,38.751641,-9.147924,0101000020E61000004696CCB1BC4B22C097AAB4C535604340
19007529,1352,7564916,Private room,,Lisbon,,Avenidas Novas,0,0.0,2,1.0,,25.0,,SPACIOUS COOL ROOM IN CENTRAL LISBON 2 METRO LINES,2017-06-19 02:26:00.769251,38.736241,-9.150152,0101000020E6100000A5DB12B9E04C22C0B77C24253D5E4340
16240816,1352,106149355,Private room,,Lisbon,,Areeiro,0,0.0,2,1.0,,33.0,,43 - Amazing Double Bedroom - 10 Seconds to Metro,2017-06-19 02:26:00.766762,38.74231,-9.132758,0101000020E6100000939048DBF84322C034BF9A03045F4340
